--- Atoms: 
ANCHOR('-121.989088 36.963147') Truth=[0.25]
ANCHOR('-122.024519 36.962230') Truth=[0.91]
ANCHOR('-122.049576 36.992167') Truth=[0.28]
ANCHOR('-122.052907 36.981256') Truth=[0.82]
ANCHOR('-122.013331 36.961994') Truth=[0.72]
ANCHOR('-122.055537 36.996720') Truth=[0.68]
ANCHOR('-121.963550 36.963969') Truth=[0.15]
ANCHOR('-122.007012 36.972994') Truth=[0.17]
ANCHOR('-121.962006 36.982009') Truth=[0.36]
ANCHOR('-121.969066 36.974663') Truth=[0.49]
ANCHOR('-122.051640 36.995936') Truth=[0.12]
ANCHOR('-122.066781 36.991004') Truth=[0.61]
ANCHOR('-121.989244 36.967199') Truth=[0.4]
ANCHOR('-122.034000 36.985000') Truth=[0.23]
ANCHOR('-122.052505 36.975877') Truth=[0.84]
ANCHOR('-122.024537 36.967669') Truth=[0.81]
ANCHOR('-121.966661 36.985422') Truth=[0.44]
ANCHOR('-122.012441 36.986317') Truth=[0.32]
ANCHOR('-122.047814 36.971777') Truth=[0.76]
ANCHOR('-122.062366 36.965248') Truth=[0.66]
ANCHOR('-122.048464 36.956224') Truth=[0.5]
ANCHOR('-122.025758 36.973308') Truth=[0.88]
ANCHOR('-121.930500 36.967000') Truth=[0.28]
ANCHOR('-122.112000 36.967250') Truth=[0.26]
ANCHOR('-122.047679 36.950136') Truth=[0.27]
ANCHOR('-122.042064 36.989598') Truth=[0.22]
ANCHOR('-122.011915 36.980210') Truth=[0.69]
ANCHOR('-122.028000 37.016000') Truth=[0.08]
ANCHOR('-122.030964 36.967030') Truth=[0.7]
ANCHOR('-122.006919 36.981915') Truth=[0.71]
ANCHOR('-122.018654 36.965163') Truth=[0.82]
ANCHOR('-122.062759 37.000484') Truth=[0.95]
ANCHOR('-122.041698 36.965637') Truth=[0.71]
ANCHOR('-122.061000 36.955000') Truth=[0.06]
ANCHOR('-122.017878 36.957896') Truth=[0.43]
ANCHOR('-122.000353 36.965826') Truth=[0.75]
ANCHOR('-121.978010 36.956698') Truth=[0.32]
ANCHOR('-122.062199 36.973191') Truth=[0.39]
ANCHOR('-121.949000 36.967000') Truth=[0.17]
ANCHOR('-122.030834 36.956501') Truth=[0.56]
ANCHOR('-122.053711 36.964945') Truth=[0.06]
ANCHOR('-121.960065 36.966991') Truth=[0.54]
ANCHOR('-122.062772 36.966736') Truth=[0.79]
ANCHOR('-122.025064 37.000709') Truth=[0.21]
ANCHOR('-122.032489 36.975685') Truth=[0.7]
ANCHOR('-122.045494 37.000003') Truth=[0.21]
ANCHOR('-122.062493 36.980268') Truth=[0.36]
ANCHOR('-122.028337 36.980836') Truth=[0.41]
ANCHOR('-122.012023 36.957145') Truth=[0.4]
ANCHOR('-122.041695 36.976997') Truth=[0.5]
ANCHOR('-122.080000 36.967000') Truth=[0.1]
ANCHOR('-121.968436 36.959183') Truth=[0.42]
ANCHOR('-122.037949 36.971178') Truth=[0.36]
ANCHOR('-122.006969 36.967453') Truth=[0.87]
ANCHOR('-121.983509 36.960484') Truth=[0.22]
ANCHOR('-122.060372 36.991746') Truth=[0.7]
ANCHOR('-122.035000 37.015000') Truth=[0.07]
ANCHOR('-121.969995 36.982004') Truth=[0.17]
ANCHOR('-122.039361 36.952770') Truth=[0.35]
ANCHOR('-121.960000 36.956000') Truth=[0.09]
